year,usa_state,number of female workers(in thousands),number of male workers(in thousands),median weekly earnings(female),median weekly earnings(male),standard error of median (female),standard error of median (male),usa_state_code,usa_state_latitude,usa_state_longitude
2015,Alabama,724,856,$615 ,$815 ,12,32,AL,32.318231,-86.902298
2016,Alabama,715,865,$651 ,$856 ,16,33,AL,32.318231,-86.902298
2017,Alabama,712,881,$656 ,$845 ,17,25,AL,32.318231,-86.902298
2018,Alabama,749,910,$688 ,$922 ,23,23,AL,32.318231,-86.902298
2019,Alabama,801,972,$726 ,$950 ,18,25,AL,32.318231,-86.902298
2020,Alabama,745,884,$791 ,$978 ,21,29,AL,32.318231,-86.902298
2015,Alaska,110,145,$787 ,"$1,034 ",21,24,AK,63.588753000000004,-154.493062
2016,Alaska,113,133,$841 ,"$1,014 ",27,27,AK,63.588753000000004,-154.493062
2017,Alaska,117,136,$883 ,"$1,090 ",27,43,AK,63.588753000000004,-154.493062
2018,Alaska,113,138,$857 ,"$1,081 ",29,41,AK,63.588753000000004,-154.493062
2019,Alaska,108,126,$878 ,"$1,097 ",22,39,AK,63.588753000000004,-154.493062
2020,Alaska,106,132,$913 ,"$1,128 ",27,27,AK,63.588753000000004,-154.493062
2015,Arizona,960,"1,219",$674 ,$816 ,13,20,AZ,34.048928000000004,-111.093731
2016,Arizona,947,"1,266",$768 ,$890 ,14,17,AZ,34.048928000000004,-111.093731
2017,Arizona,970,"1,312",$749 ,$916 ,17,26,AZ,34.048928000000004,-111.093731
2018,Arizona,"1,062","1,342",$762 ,$910 ,17,26,AZ,34.048928000000004,-111.093731
2019,Arizona,1070,1388,$781 ,$996 ,19,21,AZ,34.048928000000004,-111.093731
2020,Arizona,"1,073","1,312",$856 ,$991 ,28,15,AZ,34.048928000000004,-111.093731
2015,Arkansas,459,524,$607 ,$761 ,12,19,AR,35.20105,-91.83183299999999
2016,Arkansas,459,555,$638 ,$769 ,16,17,AR,35.20105,-91.83183299999999
2017,Arkansas,496,527,$665 ,$799 ,15,23,AR,35.20105,-91.83183299999999
2018,Arkansas,462,529,$681 ,$809 ,16,22,AR,35.20105,-91.83183299999999
2019,Arkansas,465,552,$714 ,$874 ,18,22,AR,35.20105,-91.83183299999999
2020,Arkansas,443,552,$771 ,$917 ,17,21,AR,35.20105,-91.83183299999999
2015,California,"5,315","7,241",$775 ,$914 ,10,12,CA,36.778261,-119.41793200000001
2016,California,"5,383","7,479",$814 ,$925 ,11,13,CA,36.778261,-119.41793200000001
2017,California,"5,620","7,525",$827 ,$992 ,11,11,CA,36.778261,-119.41793200000001
2018,California,"5,800","7,736",$876 ,$992 ,12,12,CA,36.778261,-119.41793200000001
2019,California,5818,7830,$911 ,"$1,024 ",10,13,CA,36.778261,-119.41793200000001
