Year,Occupation Type,Occupation Sub-Type,Occupation Sub-Type2,Occupation,Gender,Numberofworkers,Medianweeklyearnings,Standarderrorofmedian
2016,"Management, professional, and related ",,,,Female,"23,674","$1,027",5
2016,"Management, professional, and related ","Management, business, and financial operations ",,,Female,"8,761","$1,099",11
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,,Female,"5,314","$1,148",9
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Chief executives,Female,318,"$1,876",110
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,General and operations managers,Female,250,"$1,037",78
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Legislators,Female,6,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Advertising and promotions managers,Female,32,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Marketing and sales managers,Female,403,"$1,142",49
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Public relations and fundraising managers,Female,38,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Administrative services managers,Female,71,$952,50
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Computer and information systems managers,Female,150,"$1,680",101
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Financial managers,Female,578,"$1,157",24
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Compensation and benefits managers,Female,12,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Human resources managers,Female,190,"$1,283",57
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Training and development managers,Female,31,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Industrial production managers,Female,66,"$1,219",138
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Purchasing managers,Female,92,"$1,169",39
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Transportation, storage, and distribution managers",Female,51,$988,424
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Farmers, ranchers, and other agricultural managers",Female,17,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Construction managers,Female,35,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Education administrators,Female,541,"$1,280",45
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Architectural and engineering managers,Female,9,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Food service managers,Female,350,$632,28
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Funeral service managers,Female,1,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Gaming managers,Female,4,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Lodging managers,Female,64,$764,59
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Medical and health services managers,Female,399,"$1,254",55
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Natural sciences managers,Female,8,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Postmasters and mail superintendents,Female,11,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Property, real estate, and community association managers",Female,221,$815,35
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Social and community service managers,Female,248,$992,43
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Emergency management directors,Female,3,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Managers, all other",Female,"1,115","$1,188",32
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,,Female,"3,448","$1,018",12
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Agents and business managers of artists, performers, and athletes",Female,12,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Buyers and purchasing agents, farm products",Female,0,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Wholesale and retail buyers, except farm products",Female,83,$765,29
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Purchasing agents, except wholesale, retail, and farm products",Female,125,$974,120
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Claims adjusters, appraisers, examiners, and investigators",Female,206,$912,21
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Compliance officers,Female,146,"$1,163",55
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Cost estimators,Female,9,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Human resources workers,Female,465,"$1,089",41
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Compensation, benefits, and job analysis specialists",Female,51,"$1,001",44
