Year,State,Gender,"Number
of
workers
(in
thousands)","Median
weekly
earnings","Standard
error
of
median"
2016,United States,Female,"49,161",$749,2
2016,Alabama,Female,715,$651,16
2016,Alaska,Female,113,$841,27
2016,Arizona,Female,947,$768,14
2016,Arkansas,Female,459,$638,16
2016,California,Female,"5,383",$814,11
2016,Colorado,Female,841,$812,18
2016,Connecticut,Female,555,$876,33
2016,Delaware,Female,166,$775,21
2016,District of Columbia,Female,152,"$1,117",28
2016,Florida,Female,"3,158",$701,10
2016,Georgia,Female,"1,654",$721,16
2016,Hawaii,Female,218,$718,21
2016,Idaho,Female,220,$645,18
2016,Illinois,Female,"1,979",$775,13
2016,Indiana,Female,"1,079",$702,22
2016,Iowa,Female,528,$684,17
2016,Kansas,Female,460,$692,19
2016,Kentucky,Female,650,$711,19
2016,Louisiana,Female,704,$659,21
2016,Maine,Female,194,$754,17
2016,Maryland,Female,"1,120",$915,30
2016,Massachusetts,Female,"1,114",$932,17
2016,Michigan,Female,"1,438",$742,12
2016,Minnesota,Female,901,$849,25
2016,Mississippi,Female,452,$624,18
2016,Missouri,Female,"1,021",$703,23
2016,Montana,Female,138,$705,19
2016,Nebraska,Female,318,$697,18
2016,Nevada,Female,414,$681,15
2016,New Hampshire,Female,230,$762,16
2016,New Jersey,Female,"1,448",$894,25
2016,New Mexico,Female,280,$679,22
2016,New York,Female,"3,145",$840,13
2016,North Carolina,Female,"1,598",$704,11
2016,North Dakota,Female,131,$713,12
2016,Ohio,Female,"1,717",$713,10
2016,Oklahoma,Female,534,$651,12
2016,Oregon,Female,554,$791,24
2016,Pennsylvania,Female,"1,984",$741,11
2016,Rhode Island,Female,179,$765,30
2016,South Carolina,Female,773,$687,18
2016,South Dakota,Female,137,$670,12
2016,Tennessee,Female,983,$666,17
2016,Texas,Female,"4,197",$707,10
2016,Utah,Female,358,$668,16
2016,Vermont,Female,104,$801,27
2016,Virginia,Female,"1,376",$809,22
2016,Washington,Female,"1,065",$814,18
2016,West Virginia,Female,248,$688,17
2016,Wisconsin,Female,947,$737,14
2016,Wyoming,Female,82,$699,22
2016,United States,Male,"61,930",$915,3
2016,Alabama,Male,865,$856,33
2016,Alaska,Male,133,"$1,014",27
2016,Arizona,Male,"1,266",$890,17
2016,Arkansas,Male,555,$769,17
2016,California,Male,"7,479",$925,13
2016,Colorado,Male,"1,154",$967,20
2016,Connecticut,Male,677,"$1,164",35
2016,Delaware,Male,191,$902,27
2016,District of Columbia,Male,154,"$1,274",38
2016,Florida,Male,"3,641",$805,13
2016,Georgia,Male,"1,927",$839,25
2016,Hawaii,Male,276,$869,29
2016,Idaho,Male,320,$843,19
2016,Illinois,Male,"2,534",$978,19
2016,Indiana,Male,"1,322",$829,22
2016,Iowa,Male,614,$895,23
2016,Kansas,Male,566,$851,33
2016,Kentucky,Male,763,$828,29
2016,Louisiana,Male,813,$863,28
2016,Maine,Male,244,$900,28
2016,Maryland,Male,"1,266","$1,048",50
2016,Massachusetts,Male,"1,390","$1,105",21
2016,Michigan,Male,"1,822",$932,16
2016,Minnesota,Male,"1,134","$1,020",28
2016,Mississippi,Male,490,$778,26
2016,Missouri,Male,"1,178",$885,29
2016,Montana,Male,176,$866,23
2016,Nebraska,Male,388,$855,23
2016,Nevada,Male,582,$828,23
2016,New Hampshire,Male,294,"$1,013",24
2016,New Jersey,Male,"1,877","$1,113",27
2016,New Mexico,Male,341,$772,24
2016,New York,Male,"3,692",$975,12
2016,North Carolina,Male,"1,935",$836,19
2016,North Dakota,Male,168,$930,19
2016,Ohio,Male,"2,210",$899,17
2016,Oklahoma,Male,714,$824,22
2016,Oregon,Male,772,$904,23
2016,Pennsylvania,Male,"2,468",$956,12
2016,Rhode Island,Male,206,$907,21
2016,South Carolina,Male,851,$884,20
2016,South Dakota,Male,172,$876,16
2016,Tennessee,Male,"1,269",$821,19
2016,Texas,Male,"5,603",$860,12
2016,Utah,Male,640,$955,20
2016,Vermont,Male,124,$888,27
2016,Virginia,Male,"1,649","$1,013",30
2016,Washington,Male,"1,441","$1,056",33
2016,West Virginia,Male,316,$846,30
2016,Wisconsin,Male,"1,152",$940,20
2016,Wyoming,Male,117,$970,28
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
