Year,Occupation Type,Occupation Sub-Type,Occupation Sub-Type2,Occupation,Gender,Number of workers,Median weekly earnings,Standarderrorofmedian
2019,"Management, professional, and related",,,,Women,25123,"$1,078",6
2019,"Management, professional, and related","Management, business, and financial operations",,,Women,9195,"$1,168",8
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Women,5724,"$1,236",11
2019,"Management, professional, and related","Management, business, and financial operations",Management,Chief executives,Women,307,"$1,736",96
2019,"Management, professional, and related","Management, business, and financial operations",Management,General and operations managers,Women,283,"$1,139",23
2019,"Management, professional, and related","Management, business, and financial operations",Management,Legislators,Women,4,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Advertising and promotions managers,Women,16,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Marketing and sales managers,Women,447,"$1,362",34
2019,"Management, professional, and related","Management, business, and financial operations",Management,Public relations and fundraising managers,Women,43,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Administrative services managers,Women,46,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Computer and information systems managers,Women,153,"$1,727",222
2019,"Management, professional, and related","Management, business, and financial operations",Management,Financial managers,Women,663,"$1,262",32
2019,"Management, professional, and related","Management, business, and financial operations",Management,Compensation and benefits managers,Women,16,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Human resources managers,Women,221,"$1,330",66
2019,"Management, professional, and related","Management, business, and financial operations",Management,Training and development managers,Women,31,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Industrial production managers,Women,55,"$1,296",155
2019,"Management, professional, and related","Management, business, and financial operations",Management,Purchasing managers,Women,99,"$1,229",82
2019,"Management, professional, and related","Management, business, and financial operations",Management,"Transportation, storage, and distribution managers",Women,43,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,"Farmers, ranchers, and other agricultural managers",Women,21,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Construction managers,Women,53,"$1,202",23
2019,"Management, professional, and related","Management, business, and financial operations",Management,Education administrators,Women,563,"$1,245",33
2019,"Management, professional, and related","Management, business, and financial operations",Management,Architectural and engineering managers,Women,19,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Food service managers,Women,407,$708,26
2019,"Management, professional, and related","Management, business, and financial operations",Management,Funeral service managers,Women,0,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Gaming managers,Women,8,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Lodging managers,Women,64,$920,99
2019,"Management, professional, and related","Management, business, and financial operations",Management,Medical and health services managers,Women,418,"$1,331",45
2019,"Management, professional, and related","Management, business, and financial operations",Management,Natural sciences managers,Women,4,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,Postmasters and mail superintendents,Women,15,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,"Property, real estate, and community association managers",Women,208,$927,47
2019,"Management, professional, and related","Management, business, and financial operations",Management,Social and community service managers,Women,251,"$1,057",32
2019,"Management, professional, and related","Management, business, and financial operations",Management,Emergency management directors,Women,3,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,"Managers, all other",Women,1263,"$1,341",21
